	Rates				Time
188	1950.0				23/05,20:31:31
189	1950.0				23/05,20:31:41
190	1940.298				23/05,20:31:52
191	1935.64				23/05,20:32:02
192	1926.593				23/05,20:32:12
193	1926.593				23/05,20:32:22
194	1930.754				23/05,20:32:33
195	1928.751				23/05,20:32:43
196	1928.751				23/05,20:32:53
197	1928.751				23/05,20:33:03
198	1931.611				23/05,20:33:14
199	1928.432				23/05,20:33:24
200	1928.432				23/05,20:33:34
201	1928.432				23/05,20:33:44
202	1928.145				23/05,20:33:55
203	1924.856				23/05,20:34:05
204	1924.856				23/05,20:34:15
205	1924.068				23/05,20:34:25
206	1929.701				23/05,20:34:36
207	1929.701				23/05,20:34:46
208	1927.626				23/05,20:34:56
209	1922.293				23/05,20:35:06
210	1920.72				23/05,20:35:17
211	1920.72				23/05,20:35:27
212	1920.72				23/05,20:35:37
213	1920.72				23/05,20:35:47
214	1918.267				23/05,20:35:58
215	1916.564				23/05,20:36:08
216	1915.917				23/05,20:36:18
217	1920.72				23/05,20:36:28
218	1920.72				23/05,20:36:39
219	1920.72				23/05,20:36:49
220	1913.873				23/05,20:36:59
221	1907.0				23/05,20:37:10
222	1908.509				23/05,20:37:20
223	1908.509				23/05,20:37:30
224	1905.534				23/05,20:37:40
225	1903.779				23/05,20:37:51
226	1905.534				23/05,20:38:01
227	1905.011				23/05,20:38:11
228	1905.011				23/05,20:38:22
229	1905.011				23/05,20:38:32
230	1907.224				23/05,20:38:42
231	1907.224				23/05,20:38:52
232	1907.224				23/05,20:39:02
233	1907.224				23/05,20:39:13
234	1905.392				23/05,20:39:23
235	1905.031				23/05,20:39:33
236	1905.031				23/05,20:39:44
237	1901.962				23/05,20:39:54
238	1901.962				23/05,20:40:04
239	1904.109				23/05,20:40:14
240	1903.316				23/05,20:40:25
241	1903.316				23/05,20:40:35
242	1906.916				23/05,20:40:45
243	1906.916				23/05,20:40:55
244	1906.916				23/05,20:41:06
245	1906.916				23/05,20:41:16
246	1906.916				23/05,20:41:26
247	1906.23				23/05,20:41:36
248	1907.913				23/05,20:41:47
249	1912.486				23/05,20:41:57
250	1923.39				23/05,20:42:07
251	1921.093				23/05,20:42:17
252	1917.238				23/05,20:42:28
253	1916.773				23/05,20:42:38
254	1916.773				23/05,20:42:48
255	1917.066				23/05,20:42:58
256	1917.066				23/05,20:43:09
257	1909.344				23/05,20:43:19
258	1909.344				23/05,20:43:29
259	1909.323				23/05,20:43:39
260	1909.323				23/05,20:43:50
261	1909.323				23/05,20:44:00
262	1909.323				23/05,20:44:10
263	1909.323				23/05,20:44:21
264	1901.024				23/05,20:44:31
265	1901.024				23/05,20:44:41
266	1901.024				23/05,20:44:51
267	1901.024				23/05,20:45:02
268	1899.557				23/05,20:45:12
269	1898.0				23/05,20:45:22
270	1898.612				23/05,20:45:32
271	1892.608				23/05,20:45:43
272	1892.032				23/05,20:45:53
273	1894.098				23/05,20:46:03
274	1894.098				23/05,20:46:14
275	1910.192				23/05,20:46:24
276	1910.192				23/05,20:46:34
277	1906.91				23/05,20:46:44
278	1906.91				23/05,20:46:55
279	1906.91				23/05,20:47:05
280	1906.91				23/05,20:47:15
281	1906.91				23/05,20:47:25
282	1906.91				23/05,20:47:36
283	1906.91				23/05,20:47:46
284	1906.91				23/05,20:47:56
285	1906.91				23/05,20:48:06
286	1906.91				23/05,20:48:17
287	1906.91				23/05,20:48:27
288	1906.91				23/05,20:48:37
289	1906.91				23/05,20:48:47
290	1906.91				23/05,20:48:58
291	1906.91				23/05,20:49:08
292	1906.91				23/05,20:49:18
293	1906.91				23/05,20:49:29
294	1907.936				23/05,20:49:39
295	1906.163				23/05,20:49:49
296	1906.163				23/05,20:49:59
297	1901.271				23/05,20:50:10
298	1901.271				23/05,20:50:20
299	1901.271				23/05,20:50:30
300	1901.271				23/05,20:50:40
301	1901.271				23/05,20:50:51
302	1901.271				23/05,20:51:01
303	1901.271				23/05,20:51:11
304	1901.271				23/05,20:51:21
305	1901.271				23/05,20:51:32
306	1901.271				23/05,20:51:42
307	1892.075				23/05,20:51:52
308	1892.075				23/05,20:52:02
309	1895.256				23/05,20:52:13
310	1894.521				23/05,20:52:23
311	1894.521				23/05,20:52:33
312	1894.521				23/05,20:52:43
313	1894.521				23/05,20:52:54
314	1903.957				23/05,20:53:04
315	1903.957				23/05,20:53:14
316	1903.957				23/05,20:53:24
317	1903.957				23/05,20:53:35
318	1904.779				23/05,20:53:45
319	1904.779				23/05,20:53:55
320	1904.779				23/05,20:54:06
321	1901.619				23/05,20:54:16
322	1901.619				23/05,20:54:26
323	1901.619				23/05,20:54:36
324	1892.843				23/05,20:54:47
325	1900.732				23/05,20:54:57
326	1901.481				23/05,20:55:07
327	1901.481				23/05,20:55:17
328	1901.481				23/05,20:55:28
329	1904.608				23/05,20:55:38
330	1904.608				23/05,20:55:48
331	1904.608				23/05,20:55:58
332	1896.617				23/05,20:56:09
333	1898.258				23/05,20:56:19
334	1898.258				23/05,20:56:29
335	1898.258				23/05,20:56:39
336	1898.258				23/05,20:56:49
337	1898.258				23/05,20:57:00
338	1901.514				23/05,20:57:10
339	1918.766				23/05,20:57:20
340	1913.528				23/05,20:57:30
341	1913.528				23/05,20:57:41
342	1913.528				23/05,20:57:51
343	1909.411				23/05,20:58:01
344	1909.411				23/05,20:58:11
345	1912.015				23/05,20:58:22
346	1912.015				23/05,20:58:32
347	1904.411				23/05,20:58:42
348	1901.129				23/05,20:58:52
349	1901.129				23/05,20:59:03
350	1900.0				23/05,20:59:13
351	1900.0				23/05,20:59:23
352	1902.658				23/05,20:59:33
353	1902.27				23/05,20:59:44
354	1902.27				23/05,20:59:54
355	1901.899				23/05,21:00:04
356	1898.335				23/05,21:00:14
357	1899.74				23/05,21:00:25
358	1906.971				23/05,21:00:35
359	1904.145				23/05,21:00:45
360	1904.145				23/05,21:00:55
