	Rates				Time
200	132.4				23/05,20:33:34
201	132.4				23/05,20:33:44
202	132.4				23/05,20:33:55
203	132.4				23/05,20:34:05
204	132.4				23/05,20:34:15
205	132.4				23/05,20:34:25
206	132.4				23/05,20:34:36
207	132.4				23/05,20:34:46
208	132.4				23/05,20:34:56
209	132.125				23/05,20:35:06
210	131.926				23/05,20:35:17
211	131.926				23/05,20:35:27
212	131.926				23/05,20:35:37
213	131.926				23/05,20:35:47
214	131.926				23/05,20:35:58
215	131.926				23/05,20:36:08
216	131.926				23/05,20:36:18
217	132.181				23/05,20:36:28
218	132.181				23/05,20:36:39
219	131.987				23/05,20:36:49
220	131.987				23/05,20:36:59
221	131.987				23/05,20:37:10
222	131.904				23/05,20:37:20
223	131.888				23/05,20:37:30
224	131.888				23/05,20:37:40
225	130.82				23/05,20:37:51
226	130.82				23/05,20:38:01
227	130.82				23/05,20:38:11
228	130.82				23/05,20:38:22
229	130.82				23/05,20:38:32
230	131.555				23/05,20:38:42
231	131.555				23/05,20:38:52
232	131.555				23/05,20:39:02
233	131.555				23/05,20:39:13
234	130.748				23/05,20:39:23
235	130.748				23/05,20:39:33
236	130.748				23/05,20:39:44
237	130.457				23/05,20:39:54
238	131.365				23/05,20:40:04
239	131.365				23/05,20:40:14
240	131.365				23/05,20:40:25
241	130.458				23/05,20:40:35
242	130.458				23/05,20:40:45
243	130.458				23/05,20:40:55
244	130.501				23/05,20:41:06
245	130.457				23/05,20:41:16
246	130.457				23/05,20:41:26
247	130.457				23/05,20:41:36
248	130.457				23/05,20:41:47
249	130.457				23/05,20:41:57
250	131.727				23/05,20:42:07
251	131.727				23/05,20:42:17
252	131.727				23/05,20:42:28
253	131.727				23/05,20:42:38
254	131.727				23/05,20:42:48
255	131.727				23/05,20:42:58
256	131.727				23/05,20:43:09
257	131.727				23/05,20:43:19
258	131.727				23/05,20:43:29
259	131.727				23/05,20:43:39
260	131.727				23/05,20:43:50
261	131.727				23/05,20:44:00
262	131.727				23/05,20:44:10
263	130.441				23/05,20:44:21
264	133.538				23/05,20:44:31
265	133.538				23/05,20:44:41
266	133.538				23/05,20:44:51
267	130.973				23/05,20:45:02
268	130.973				23/05,20:45:12
269	130.004				23/05,20:45:22
270	130.004				23/05,20:45:32
271	130.004				23/05,20:45:43
272	129.303				23/05,20:45:53
273	130.701				23/05,20:46:03
274	131.136				23/05,20:46:14
275	131.554				23/05,20:46:24
276	131.554				23/05,20:46:34
277	130.702				23/05,20:46:44
278	130.701				23/05,20:46:55
279	130.701				23/05,20:47:05
280	130.701				23/05,20:47:15
281	130.701				23/05,20:47:25
282	130.701				23/05,20:47:36
283	130.701				23/05,20:47:46
284	130.701				23/05,20:47:56
285	130.701				23/05,20:48:06
286	130.701				23/05,20:48:17
287	130.701				23/05,20:48:27
288	130.701				23/05,20:48:37
289	130.701				23/05,20:48:47
290	130.701				23/05,20:48:58
291	131.005				23/05,20:49:08
292	130.992				23/05,20:49:18
293	130.992				23/05,20:49:29
294	130.992				23/05,20:49:39
295	130.992				23/05,20:49:49
296	130.992				23/05,20:49:59
297	130.229				23/05,20:50:10
298	130.229				23/05,20:50:20
299	130.229				23/05,20:50:30
300	130.229				23/05,20:50:40
301	130.229				23/05,20:50:51
302	130.229				23/05,20:51:01
303	130.229				23/05,20:51:11
304	130.229				23/05,20:51:21
305	130.229				23/05,20:51:32
306	130.229				23/05,20:51:42
307	130.229				23/05,20:51:52
308	130.229				23/05,20:52:02
309	130.229				23/05,20:52:13
310	130.229				23/05,20:52:23
311	130.229				23/05,20:52:33
312	130.229				23/05,20:52:43
313	130.229				23/05,20:52:54
314	130.229				23/05,20:53:04
315	130.229				23/05,20:53:14
316	130.229				23/05,20:53:24
317	130.229				23/05,20:53:35
318	130.229				23/05,20:53:45
319	129.624				23/05,20:53:55
320	129.624				23/05,20:54:06
321	129.624				23/05,20:54:16
322	129.624				23/05,20:54:26
323	129.624				23/05,20:54:36
324	129.624				23/05,20:54:47
325	129.624				23/05,20:54:57
326	130.223				23/05,20:55:07
327	130.223				23/05,20:55:17
328	130.223				23/05,20:55:28
329	130.223				23/05,20:55:38
330	130.223				23/05,20:55:48
331	130.223				23/05,20:55:58
332	130.223				23/05,20:56:09
333	130.223				23/05,20:56:19
334	130.223				23/05,20:56:29
335	129.584				23/05,20:56:39
336	129.584				23/05,20:56:49
337	129.584				23/05,20:57:00
338	129.584				23/05,20:57:10
339	130.701				23/05,20:57:20
340	130.701				23/05,20:57:30
341	130.701				23/05,20:57:41
342	130.701				23/05,20:57:51
343	130.701				23/05,20:58:01
344	130.701				23/05,20:58:11
345	130.701				23/05,20:58:22
346	130.701				23/05,20:58:32
347	130.889				23/05,20:58:42
348	130.889				23/05,20:58:52
349	130.889				23/05,20:59:03
350	130.889				23/05,20:59:13
