	Rates				Time
188	33321.93				23/05,20:31:31
189	33297.437				23/05,20:31:41
190	33287.888				23/05,20:31:52
191	33215.904				23/05,20:32:02
192	33075.686				23/05,20:32:12
193	33183.44				23/05,20:32:22
194	33183.44				23/05,20:32:33
195	33183.44				23/05,20:32:43
196	33183.44				23/05,20:32:53
197	33124.813				23/05,20:33:03
198	33152.92				23/05,20:33:14
199	33127.915				23/05,20:33:24
200	33120.444				23/05,20:33:34
201	33120.444				23/05,20:33:44
202	33128.614				23/05,20:33:55
203	33064.718				23/05,20:34:05
204	33064.129				23/05,20:34:15
205	33032.792				23/05,20:34:25
206	33032.792				23/05,20:34:36
207	33069.542				23/05,20:34:46
208	33069.589				23/05,20:34:56
209	32990.22				23/05,20:35:06
210	32950.0				23/05,20:35:17
211	32931.812				23/05,20:35:27
212	32896.703				23/05,20:35:37
213	32946.54				23/05,20:35:47
214	32902.966				23/05,20:35:58
215	32927.204				23/05,20:36:08
216	32915.554				23/05,20:36:18
217	32977.542				23/05,20:36:28
218	32964.622				23/05,20:36:39
219	32926.287				23/05,20:36:49
220	32914.409				23/05,20:36:59
221	32829.722				23/05,20:37:10
222	32816.6				23/05,20:37:20
223	32816.6				23/05,20:37:30
224	32721.584				23/05,20:37:40
225	32701.261				23/05,20:37:51
226	32701.115				23/05,20:38:01
227	32745.548				23/05,20:38:11
228	32745.548				23/05,20:38:22
229	32756.769				23/05,20:38:32
230	32733.361				23/05,20:38:42
231	32733.361				23/05,20:38:52
232	32730.418				23/05,20:39:02
233	32730.418				23/05,20:39:13
234	32667.23				23/05,20:39:23
235	32650.293				23/05,20:39:33
236	32650.293				23/05,20:39:44
237	32599.939				23/05,20:39:54
238	32651.06				23/05,20:40:04
239	32654.515				23/05,20:40:14
240	32654.515				23/05,20:40:25
241	32654.515				23/05,20:40:35
242	32654.515				23/05,20:40:45
243	32646.385				23/05,20:40:55
244	32646.385				23/05,20:41:06
245	32621.683				23/05,20:41:16
246	32689.3				23/05,20:41:26
247	32724.031				23/05,20:41:36
248	32806.942				23/05,20:41:47
249	32806.942				23/05,20:41:57
250	32879.619				23/05,20:42:07
251	32334.673				23/05,20:42:17
252	32746.176				23/05,20:42:28
253	32816.22				23/05,20:42:38
254	32826.639				23/05,20:42:48
255	32796.149				23/05,20:42:58
256	32797.417				23/05,20:43:09
257	32664.067				23/05,20:43:19
258	32682.889				23/05,20:43:29
259	32682.889				23/05,20:43:39
260	32682.889				23/05,20:43:50
261	32747.273				23/05,20:44:00
262	32747.273				23/05,20:44:10
263	32699.579				23/05,20:44:21
264	32630.729				23/05,20:44:31
265	32627.718				23/05,20:44:41
266	32646.884				23/05,20:44:51
267	32644.36				23/05,20:45:02
268	32579.488				23/05,20:45:12
269	32571.567				23/05,20:45:22
270	32552.693				23/05,20:45:32
271	32540.54				23/05,20:45:43
272	32540.54				23/05,20:45:53
273	32627.357				23/05,20:46:03
274	32839.998				23/05,20:46:14
275	32863.78				23/05,20:46:24
276	32863.78				23/05,20:46:34
277	32741.378				23/05,20:46:44
278	32716.703				23/05,20:46:55
279	32683.668				23/05,20:47:05
280	32683.668				23/05,20:47:15
281	32678.823				23/05,20:47:25
282	32678.823				23/05,20:47:36
283	32611.744				23/05,20:47:46
284	32611.744				23/05,20:47:56
285	32684.781				23/05,20:48:06
286	32684.781				23/05,20:48:17
287	32708.771				23/05,20:48:27
288	32708.771				23/05,20:48:37
289	32708.771				23/05,20:48:47
290	32730.653				23/05,20:48:58
291	32730.653				23/05,20:49:08
292	32714.575				23/05,20:49:18
293	32712.605				23/05,20:49:29
294	32700.0				23/05,20:49:39
295	32700.0				23/05,20:49:49
296	32659.232				23/05,20:49:59
297	32611.414				23/05,20:50:10
298	32582.558				23/05,20:50:20
299	32551.413				23/05,20:50:30
300	32544.604				23/05,20:50:40
301	32589.3				23/05,20:50:51
302	32542.334				23/05,20:51:01
303	32520.0				23/05,20:51:11
304	32511.876				23/05,20:51:21
305	32526.797				23/05,20:51:32
306	32525.752				23/05,20:51:42
307	32490.172				23/05,20:51:52
308	32490.201				23/05,20:52:02
309	32485.792				23/05,20:52:13
310	32486.008				23/05,20:52:23
311	32465.889				23/05,20:52:33
312	32465.889				23/05,20:52:43
313	32576.522				23/05,20:52:54
314	32519.005				23/05,20:53:04
315	32517.028				23/05,20:53:14
316	32527.84				23/05,20:53:24
317	32518.727				23/05,20:53:35
318	32533.487				23/05,20:53:45
319	32533.487				23/05,20:53:55
320	32512.96				23/05,20:54:06
321	32507.335				23/05,20:54:16
322	32482.144				23/05,20:54:26
323	32482.144				23/05,20:54:36
324	32525.406				23/05,20:54:47
325	32526.708				23/05,20:54:57
326	32584.126				23/05,20:55:07
327	32584.126				23/05,20:55:17
328	32621.351				23/05,20:55:28
329	32600.13				23/05,20:55:38
330	32527.815				23/05,20:55:48
331	32536.922				23/05,20:55:58
332	32468.975				23/05,20:56:09
333	32494.865				23/05,20:56:19
334	32494.865				23/05,20:56:29
335	32542.903				23/05,20:56:39
336	32542.903				23/05,20:56:49
337	32594.957				23/05,20:57:00
338	32737.06				23/05,20:57:10
339	32865.01				23/05,20:57:20
340	32793.921				23/05,20:57:30
341	32793.921				23/05,20:57:41
342	32736.248				23/05,20:57:51
343	32768.721				23/05,20:58:01
344	32710.61				23/05,20:58:11
345	32710.61				23/05,20:58:22
346	32710.61				23/05,20:58:32
347	32644.236				23/05,20:58:42
348	32671.661				23/05,20:58:52
349	32671.661				23/05,20:59:03
350	32618.837				23/05,20:59:13
351	32588.231				23/05,20:59:23
352	32603.612				23/05,20:59:33
353	32603.612				23/05,20:59:44
354	32603.612				23/05,20:59:54
355	32592.137				23/05,21:00:04
356	32541.407				23/05,21:00:14
357	32620.961				23/05,21:00:25
358	32654.048				23/05,21:00:35
359	32654.048				23/05,21:00:45
360	32545.764				23/05,21:00:55
